drug,location,dosage,quantity,pharmacy,price,special_offer,standard_coupon_price,special_coupon_price,online_pharmacy,city
Simvastatin,60601,20mg,90 tablets,Costco,21.99,special offers,24.99,21.99,False,Chicago
Simvastatin,60601,20mg,90 tablets,Aurora Pharmacy,9.95,no special offer,,,False,Chicago
Simvastatin,60601,20mg,90 tablets,Walmart Neighborhood Market,24.0,no special offer,,,False,Chicago
Simvastatin,60601,20mg,90 tablets,Walgreens Specialty Pharmacy,33.6,special offers,36.1,33.6,False,Chicago
Simvastatin,60601,20mg,90 tablets,Capsule Pharmacy,27.09,no special offer,,,False,Chicago
Losartan,10001,50mg,30 tablets,CVS Pharmacy,19.43,special offers,28.53,19.43,False,New York
Losartan,10001,50mg,30 tablets,Walgreens,11.21,special offers,23.71,11.21,False,New York
Losartan,10001,50mg,30 tablets,ShopRite,9.84,no special offer,,,False,New York
Losartan,10001,50mg,30 tablets,Duane Reade,11.21,special offers,23.71,11.21,False,New York
Losartan,10001,50mg,30 tablets,Acme Markets Pharmacy Pay online,2.0,special offers,10.05,2.0,True,New York
Losartan,10001,50mg,30 tablets,Target (CVS),19.43,special offers,28.53,19.43,False,New York
Losartan,10001,50mg,30 tablets,Wegmans,5.63,special offers,11.13,5.63,False,New York
Losartan,10001,50mg,30 tablets,Costco,21.99,special offers,22.99,21.99,False,New York
Losartan,10001,50mg,30 tablets,Capsule Pharmacy,16.47,no special offer,,,False,New York
Losartan,10001,50mg,30 tablets,ACME Sav-On Pay online,2.0,special offers,10.05,2.0,True,New York
Losartan,10001,50mg,30 tablets,Sams Club,7.1,special offers,9.6,7.1,False,New York
Losartan,10001,50mg,30 tablets,Walmart,9.0,special offers,,,False,New York
Losartan,10001,50mg,30 tablets,Walgreens Specialty Pharmacy,11.21,special offers,23.71,11.21,False,New York
Losartan,10001,50mg,30 tablets,Walmart Neighborhood Market,9.0,special offers,,,False,New York
Losartan,10001,50mg,30 tablets,King Kullen,6.87,special offers,9.84,6.87,False,New York
Losartan,10001,50mg,30 tablets,Rite Aid,11.56,special offers,15.81,11.56,False,New York
Losartan,90001,50mg,30 tablets,CVS Pharmacy,19.43,special offers,28.53,19.43,False,Los Angeles
Losartan,90001,50mg,30 tablets,Vons Pharmacy Pay online,2.0,special offers,10.05,2.0,True,Los Angeles
Losartan,90001,50mg,30 tablets,Albertsons (Sav-on) Pay online,2.0,special offers,10.05,2.0,True,Los Angeles
Losartan,90001,50mg,30 tablets,Walgreens,11.21,special offers,23.71,11.21,False,Los Angeles
Losartan,90001,50mg,30 tablets,Pavilions Pharmacy Pay online,2.0,special offers,,,True,Los Angeles
Losartan,90001,50mg,30 tablets,Target (CVS),19.43,special offers,,,False,Los Angeles
Losartan,90001,50mg,30 tablets,Ralphs,7.3,no special offer,,,False,Los Angeles
Losartan,90001,50mg,30 tablets,Costco,21.99,special offers,,,False,Los Angeles
Losartan,90001,50mg,30 tablets,Sams Club,7.1,special offers,,,False,Los Angeles
Losartan,90001,50mg,30 tablets,Walmart,9.0,special offers,,,False,Los Angeles
Losartan,90001,50mg,30 tablets,Walmart Neighborhood Market,9.0,special offers,,,False,Los Angeles
Losartan,90001,50mg,30 tablets,Walgreens Specialty Pharmacy,11.21,special offers,,,False,Los Angeles
Losartan,90001,50mg,30 tablets,Rite Aid,11.56,special offers,,,False,Los Angeles
Losartan,90001,50mg,30 tablets,Capsule Pharmacy,16.47,no special offer,,,False,Los Angeles
Hydrochlorothiazide,10001,25mg,30 tablets,CVS Pharmacy,19.22,special offers,28.12,19.22,False,New York
Hydrochlorothiazide,10001,25mg,30 tablets,Walgreens,2.0,special offers,4.48,2.0,False,New York
Hydrochlorothiazide,10001,25mg,30 tablets,ShopRite,2.88,special offers,8.05,2.88,False,New York
Hydrochlorothiazide,10001,25mg,30 tablets,Costco,7.5,special offers,10.0,7.5,False,New York
Hydrochlorothiazide,10001,25mg,30 tablets,Target (CVS),19.22,special offers,28.12,19.22,False,New York
Hydrochlorothiazide,10001,25mg,30 tablets,Duane Reade,2.0,special offers,4.48,2.0,False,New York
Hydrochlorothiazide,10001,25mg,30 tablets,Acme Markets Pharmacy Pay online,2.0,special offers,8.72,2.0,True,New York
Hydrochlorothiazide,10001,25mg,30 tablets,Capsule Pharmacy,16.95,no special offer,,,False,New York
Hydrochlorothiazide,10001,25mg,30 tablets,Wegmans,0.81,special offers,5.31,0.81,False,New York
Hydrochlorothiazide,10001,25mg,30 tablets,Walmart,4.0,no special offer,,,False,New York
Hydrochlorothiazide,10001,25mg,30 tablets,ACME Sav-On Pay online,2.0,special offers,8.72,2.0,True,New York
